tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
shoot,µg,Light perception,Photoreceptors,pathway_score,0.1205,0.1205,1.0,2.0,10.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.191@Dark,False
shoot,µg,Photosynthesis,Photosynthesis,pathway_score,-0.1882,-0.1882,0.5,2.0,46.0,45.0,rewired,T1,pathway_scores_all.csv,-1.698@Light,True
shoot,µg,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,0.4947,0.4947,0.5,2.0,22.0,22.0,rewired,T1,pathway_scores_all.csv,+2.961@Dark,True
shoot,µg,Hormone signaling,Plant hormone signal transduction,pathway_score,-0.112,-0.112,0.5,2.0,433.0,398.0,rewired,T1,pathway_scores_all.csv,-0.264@Dark,False
shoot,µg,ROS metabolism,ROS_core_NMF,pathway_score,0.1726,0.1726,0.5,2.0,10.0,9.0,rewired,T1,pathway_scores_all.csv,+0.710@Light,True
shoot,µg,ROS metabolism,ROS_scavenging,pathway_score,0.3739,0.3739,0.5,2.0,24.0,22.0,n.s.,T1,pathway_scores_all.csv,+0.806@Light,False
shoot,µg,Hormone transport,Sugar_transporters_SWEET,pathway_score,0.9069,0.9069,0.5,2.0,11.0,9.0,rewired,T1,pathway_scores_all.csv,+1.916@Light,True
whole_seedling,GCR,ABA metabolism,ABA_biosynthesis,pathway_score,-0.046,-0.046,0.5,2.0,8.0,7.0,rewired,T1,pathway_scores_all.csv,-0.094@80cGy,False
whole_seedling,GCR,ABA metabolism,ABA_signaling,pathway_score,0.059,0.059,1.0,2.0,16.0,14.0,modestly_activated,T1,pathway_scores_all.csv,+0.089@80cGy,False
whole_seedling,GCR,Hormone transport,Auxin_transporters_ABCB,pathway_score,,,0.0,2.0,3.0,2.0,no_coverage,T1,pathway_scores_all.csv,,False
whole_seedling,GCR,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,-0.1308,-0.1308,1.0,2.0,3.0,3.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.140@40cGy,False
whole_seedling,GCR,Hormone transport,Auxin_transporters_PIN,pathway_score,-0.2113,-0.2113,1.0,2.0,7.0,7.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.320@40cGy,False
whole_seedling,GCR,DNA repair,Base excision repair,pathway_score,0.0593,0.0593,1.0,2.0,50.0,48.0,modestly_activated,T1,pathway_scores_all.csv,+0.094@80cGy,False
whole_seedling,GCR,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,-0.0417,-0.0417,1.0,2.0,70.0,70.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.054@80cGy,False
whole_seedling,GCR,Circadian,Circadian rhythm - plant,pathway_score,-0.0185,-0.0185,1.0,2.0,43.0,41.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.028@40cGy,False
whole_seedling,GCR,Circadian,Circadian_core,pathway_score,0.1229,0.1229,1.0,2.0,14.0,14.0,modestly_activated,T1,pathway_scores_all.csv,+0.169@80cGy,False
